Team,Home Goals For,Home Goals Against,Away Goals For,Away Goals Against,Championship Teams
Manchester City,63,13,39,24,
Liverpool,53,18,48,32,
Chelsea,43,11,28,16,
Arsenal,36,11,32,30,
Everton,38,19,23,20,
Stoke City,27,17,18,35,
Tottenham,30,23,25,28,
Southampton,32,23,22,23,
Manchester United,29,21,35,22,
Newcastle Utd,23,28,20,31,
Crystal Palace,18,23,15,25,
Hull City,20,21,18,32,
West Ham,25,26,15,25,
Swansea,33,26,21,28,
West Brom,24,27,19,32,
Aston Villa,22,29,17,32,
Sunderland,21,27,20,33,
Leicester,46,22,37,21,TRUE
Burnley,37,14,35,23,TRUE
QPR,38,18,22,26,TRUE